bigram,n,star,pec
2.5 hours,4,3,0.007285974499089253
4 paws,4,3,0.007285974499089253
amazing job,4,3,0.007285974499089253
bad customer,4,3,0.007285974499089253
blah blah,4,3,0.007285974499089253
called ahead,4,3,0.007285974499089253
consultation fee,4,3,0.007285974499089253
critical care,4,3,0.007285974499089253
dog wash,4,3,0.007285974499089253
front office,4,3,0.007285974499089253
grooming appointment,4,3,0.007285974499089253
health issues,4,3,0.007285974499089253
months ago,4,3,0.007285974499089253
nails trimmed,4,3,0.007285974499089253
office staff,4,3,0.007285974499089253
pet owners,4,3,0.007285974499089253
phone call,4,3,0.007285974499089253
rabies shot,4,3,0.007285974499089253
super clean,4,3,0.007285974499089253
super cute,4,3,0.007285974499089253
wellness plan,4,3,0.007285974499089253
1 month,3,3,0.00546448087431694
2 3,3,3,0.00546448087431694
2 dogs,3,3,0.00546448087431694
2 weeks,3,3,0.00546448087431694
24 hour,3,3,0.00546448087431694
3 hours,3,3,0.00546448087431694
3 months,3,3,0.00546448087431694
3 weeks,3,3,0.00546448087431694
45 minutes,3,3,0.00546448087431694
5 months,3,3,0.00546448087431694
7 30am,3,3,0.00546448087431694
addison's disease,3,3,0.00546448087431694
allergic reaction,3,3,0.00546448087431694
alta vista,3,3,0.00546448087431694
bad experience,3,3,0.00546448087431694
black people,3,3,0.00546448087431694
boarding facilities,3,3,0.00546448087431694
boarding facility,3,3,0.00546448087431694
business owner,3,3,0.00546448087431694
cat owner,3,3,0.00546448087431694
closing time,3,3,0.00546448087431694
consistent correction,3,3,0.00546448087431694
constant consistent,3,3,0.00546448087431694
cost estimate,3,3,0.00546448087431694
couple days,3,3,0.00546448087431694
days ago,3,3,0.00546448087431694
diatomaceous earth,3,3,0.00546448087431694
dog groomed,3,3,0.00546448087431694
dog groomers,3,3,0.00546448087431694
dog hair,3,3,0.00546448087431694
dog poop,3,3,0.00546448087431694
dog run,3,3,0.00546448087431694
dog's hair,3,3,0.00546448087431694
dr dilworth,3,3,0.00546448087431694
dr ford,3,3,0.00546448087431694
dog food,39,4,0.040667361835245046
customer service,35,4,0.0364963503649635
dog park,32,4,0.03336809176225235
pet store,31,4,0.03232533889468196
front desk,29,4,0.03023983315954119
5 stars,28,4,0.029197080291970802
animal hospital,24,4,0.02502606882168926
friendly staff,23,4,0.023983315954118872
super friendly,23,4,0.023983315954118872
4 stars,20,4,0.020855057351407715
las vegas,19,4,0.01981230448383733
highly recommend,18,4,0.018769551616266946
pet stores,18,4,0.018769551616266946
desk staff,13,4,0.013555787278415016
regular vet,13,4,0.013555787278415016
care credit,12,4,0.01251303441084463
10 minutes,11,4,0.011470281543274244
bow wow,11,4,0.011470281543274244
camp bow,11,4,0.011470281543274244
phone call,11,4,0.011470281543274244
teeth cleaning,11,4,0.011470281543274244
cat food,10,4,0.010427528675703858
dog wash,10,4,0.010427528675703858
excellent job,10,4,0.010427528675703858
nthe staff,10,4,0.010427528675703858
pet food,10,4,0.010427528675703858
3 times,9,4,0.009384775808133473
day care,9,4,0.009384775808133473
excellent care,9,4,0.009384775808133473
fur babies,9,4,0.009384775808133473
