bigram,n,star
nthe prices,41,4
fremont street,40,4
happy hour,40,4
24 hours,39,4
dollar tree,39,4
tj maxx,39,4
clean store,38,4
convenient location,38,4
hair cut,38,4
harris teeter,38,4
live music,38,4
4 star,37,4
trader joes,37,4
weeks ago,37,4
credit cards,36,4
food items,36,4
giant eagle,36,4
gift card,36,4
star review,36,4
bad experience,35,4
excellent customer,35,4
customer service,5515,5
highly recommend,3631,5
las vegas,1235,5
super friendly,820,5
friendly staff,715,5
top notch,586,5
5 stars,564,5
highly recommended,549,5
extremely helpful,499,5
excellent customer,457,5
super helpful,448,5
love love,447,5
amazing job,441,5
super nice,426,5
excellent service,423,5
wedding dress,338,5
absolutely love,334,5
reasonable price,330,5
5 star,308,5
30 minutes,293,5
reasonable prices,292,5
engagement ring,290,5
shopping experience,284,5
feel comfortable,271,5
helpful staff,271,5
wonderful experience,268,5
10 minutes,266,5
friendly service,266,5
huge selection,262,5
amazing experience,256,5
15 minutes,249,5
20 minutes,248,5
home depot,248,5
absolutely amazing,246,5
front desk,246,5
fair price,229,5
amazing customer,227,5
extremely knowledgeable,226,5
moon valley,225,5
knowledgeable staff,221,5
5 minutes,218,5
nthe staff,217,5
excellent job,214,5
garage door,214,5
eye care,211,5
2 hours,205,5
bike shop,204,5
extremely friendly,204,5
months ago,201,5
eye exam,198,5
ni highly,198,5
amazing service,195,5
grocery store,195,5
parking lot,194,5
apple store,191,5
iphone 6,191,5
store manager,182,5
hair cut,181,5
friendly helpful,179,5
pleasantly surprised,179,5
ni love,178,5
family owned,175,5
fantastic job,175,5
1 2,173,5
wide variety,173,5
extra mile,172,5
price range,171,5
sales associate,169,5
weeks ago,169,5
